type,name,participants,date,location,organizer
Conference,TechConnect Summit 2023,850,2023-05-15,Berlin,TechConnect Europe,https://events.techconnect.org/Europe/
Conference,Data Science World,1200,2023-04-10,Paris,DataScience Global,https://datasciconference.com/
Conference,Digital Marketing Pro,950,2023-03-18,Barcelona,Marketing Association,https://digimarconbarcelona.es/
Conference,FinTech Innovation,780,2023-07-05,London,FinTech Alliance,https://fintech-alliance.com/ukftw/agenda
Conference,HealthTech Conference,1100,2023-05-30,Vienna,Health Innovators,https://healthhubvienna.at/summit/
Conference,Green Energy Forum,650,2023-09-12,Copenhagen,Energy Council,https://energy.ec.europa.eu/events/9th-energy-infrastructure-forum-2023-06-12_en
Conference,UX Design Expo,580,2023-08-20,Amsterdam,Design Collective,https://www.deliverableux.com/2023-ux-conferences
Conference,Blockchain Revolution,920,2023-10-15,Zurich,Crypto Foundation,https://hodlsummit.com/
Conference,AI Business Summit,720,2023-11-08,Brussels,AI Association,https://global-aiconference.com/
Conference,Cloud Computing 2023,880,2023-06-25,Dublin,Cloud Alliance,https://www.cloudfest.com/
Seminar,Python for Beginners,150,2023-06-05,Berlin,Python Institute,https://s-quest.bihealth.org/BeOx/Python-Berlin.html
Seminar,Cyber Security 101,180,2023-07-12,London,Security Foundation,https://www.itraininglondon.co.uk/course/cyber-security-foundation-and-practitioner-csfp-training-certification-courses-london-online-uk/
Seminar,Agile Fundamentals,120,2023-08-08,Dublin,Scrum Alliance,https://www.scrumalliance.org/
Seminar,Digital Art Masterclass,90,2023-09-15,Barcelona,Art Tech,https://kvetny.dk/
Seminar,Startup Funding Basics,200,2023-10-20,Tel Aviv,Startup Network,https://www.eventbrite.com/e/monthly-startup-tech-business-networking-tel-aviv-tickets-1250942606009
Seminar,AI Ethics Workshop,130,2023-11-05,San Francisco,AI Ethics Board,https://www.sf.gov/reports--december-2023--san-francisco-generative-ai-guidelines
Seminar,Cloud Essentials,160,2023-12-10,Singapore,Cloud Academy,https://www.thedigitalacademy.tech.gov.sg/course/detail/comptia-cloud-essentials-
Seminar,Legal Tech Intro,110,2024-01-15,New York,LawTech Society,https://www.linkedin.com/posts/legal-tech-hub_the-2024-lth-innovation-and-tech-enabled-activity-7238886599348875266-b9uk
Seminar,BioTech Trends,140,2024-02-22,Boston,BioTech Institute,https://bostonbib.com/
Seminar,VR Development Crash Course,95,2024-03-18,Los Angeles,VR Developers,https://www.travers.tech/
Olympiad,Math Championship,320,2023-03-25,Munich,STEM Education,https://stemolympiad.org/
Olympiad,Coding Competition,280,2023-04-18,Warsaw,Code.org,https://code.org/
Olympiad,Physics Challenge,210,2023-05-12,Prague,Science Foundation,https://fyziklani.org/
Olympiad,Robotics Cup,190,2023-06-22,Eindhoven,RoboLeague,https://frc-events.firstinspires.org/2023/cmptx
Olympiad,Chemistry Tournament,240,2023-07-15,Zurich,Chemistry Society,https://scg.ch/scg-news/news-chemedu/announcement1-icho23
Olympiad,Biology Olympiad,220,2023-08-10,Stockholm,BioScience,https://www.ibo-info.org/en/
Olympiad,Informatics Challenge,260,2023-09-05,Helsinki,Computer Society,https://ioinformatics.org/files/volume17.pdf
Olympiad,Engineering Contest,230,2023-10-12,Milan,Engineers Association,https://www.uis.no/en/research/events/technology-and-natural-sciences/2nd-olympiad-in-engineering-science-oes-2025
Olympiad,Science Bowl,250,2023-11-15,Barcelona,Science Community,https://materials-chain.com/news-events/news/
Olympiad,Mathletes Finals,270,2023-12-20,Paris,Math Association,https://www.smartick.com/data/international-mathematical-olympiad-2023/
Conference,MarTech Conference,890,2024-01-10,Amsterdam,Marketing Tech,https://themartechsummit.com/amsterdam/
Conference,EdTech Innovations,760,2024-02-15,Helsinki,EdTech Europe,https://www.eit.europa.eu/news-events/events/eit-edtech-conference-2024
Conference,MedTech Summit,980,2024-03-20,Zurich,Medical Innovators,https://healthsciences.ku.dk/calender/calendar-2024/copenhagen-medtech-innovation-summit-2024--medtech-careers
Conference,GameDev Expo,820,2024-04-25,Tokyo,Game Developers,https://expo.nikkeibp.co.jp/tgs/2024/en/
Conference,SpaceTech Forum,750,2024-05-30,Los Angeles,Space Foundation,https://www.spacetechexpo.com/
Conference,FoodTech Conference,680,2024-06-05,Milan,Food Innovators,https://www.foodtech.dk/messe/aktiviteter
Conference,TravelTech Summit,920,2024-07-12,Barcelona,TravelTech,https://www.traveltech.vc/travel-innovation-summits
Conference,Retail Innovation,840,2024-08-18,New York,Retail Association,https://www.retailtouchpoints.com/
